title,totalTime,ingredients,instructions,image
Drowned Beef Sandwich with Chipotle Sauce (Torta Ahogada),35,"['12 ounces chipotle cooking sauce (such a Knorr®)', '1 (14 ounce) can reduced-sodium beef broth', '1/4 cup chopped fresh cilantro (optional)', '2 tablespoons vegetable oil', '1 onion, thinly sliced', '3 cloves garlic, minced', '1 pound thinly sliced deli roast beef', '4 bolillo rolls, halved and lightly toasted', '4 sprigs fresh cilantro, or to taste (optional)']","Combine chipotle cooking sauce, beef broth, and 1/4 cup chopped cilantro in a saucepan; bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, for 10 minutes.
Heat oil in a skillet over medium-high heat; saute onion until softened, about 5 minutes. Stir garlic into onion and cook for 1 minute. Add roast beef and 1/4 cup chipotle sauce mixture and cook, stirring constantly, until heated through, about 2 minutes.
Ladle remaining chipotle sauce mixture into 4 bowls for dipping. Spoon roast beef mixture onto the bottom half of each bun, top with a cilantro sprig, and place the top on each bun. Dip sandwiches into sauce.
",https://images.media-allrecipes.com/userphotos/250x250/2607771.jpg
Bibimbap (Korean Rice With Mixed Vegetables),60,"['1 English cucumber, cut into matchsticks', '1/4 cup gochujang (Korean hot pepper paste)', '1 bunch fresh spinach, cut into thin strips', '1 tablespoon soy sauce', '1 teaspoon olive oil', '2 carrots, cut into matchsticks', '1 clove garlic, minced', '1 pinch red pepper flakes', '1 pound thinly-sliced beef top round steak', '1 teaspoon olive oil', '4 large eggs', '4 cups cooked white rice', '4 teaspoons toasted sesame oil, divided', '1 teaspoon sesame seeds', '2 teaspoons gochujang (Korean hot pepper paste), divided (optional)']","Stir cucumber pieces with 1/4 cup gochujang paste in a bowl; set aside.
Bring about 2 cups of water to a boil in a large nonstick skillet and stir in spinach; cook until spinach is bright green and wilted, 2 to 3 minutes. Drain spinach and squeeze out as much moisture as possible; set spinach aside in a bowl and stir soy sauce into spinach.
Heat 1 teaspoon olive oil in large nonstick skillet and cook and stir carrots until softened, about 3 minutes; stir in garlic and cook just until fragrant, about 1 more minute. Stir in cucumber pieces with gochujang paste; sprinkle with red pepper flakes, and set the mixture aside in a bowl.
Brown beef in a clean nonstick skillet over medium heat, about 5 minutes per side, and set aside. In a separate nonstick skillet, heat 1 more teaspoon olive oil over medium-low heat and fry the eggs just on one side until yolks are runny but whites are firm, 2 to 4 minutes each.
To assemble the dish, divide cooked rice into 4 large serving bowls; top with spinach mixture, a few pieces of beef, and cucumber mixture. Place 1 egg atop each serving. Drizzle each bowl with 1 teaspoon of sesame oil, a sprinkle of sesame seeds, and a small amount of gochujang paste if desired.
",https://images.media-allrecipes.com/images/77914.jpg?width=420&height=237
Secret Salsa,20,"['1/4 cup chopped fresh parsley', '1/4 cup chopped fresh cilantro', '1 lime, juiced', '2 teaspoons salt', '1/2 teaspoon garlic powder', '1/2 teaspoon chili powder', '1/2 teaspoon ground black pepper', '1/2 teaspoon tequila', '6 large tomatoes, chopped', '1 small onion, diced', '1 green bell pepper, diced']","Mix parsley, cilantro, lime juice, salt, garlic powder, chili powder, black pepper, and tequila together in a bowl. Add tomatoes, onion, and green bell peppers and toss to coat. Refrigerate.
",https://images.media-allrecipes.com/userphotos/250x250/2233715.jpg
Punjabi Chicken in Thick Gravy,90,"['2 tablespoons vegetable oil', '2 tablespoons ghee (clarified butter)', '8 chicken legs, skin removed', '1 teaspoon cumin seeds', '1 onion, finely chopped', '5 cloves garlic, minced', '2 tablespoons minced fresh ginger root', '1 small tomato, coarsely chopped', '1 tablespoon tomato paste', '1 tablespoon garam masala', '1 tablespoon ground turmeric', '1 teaspoon salt, or to taste', '1 serrano chile pepper, seeded and minced', '1 cup water', '1/4 cup chopped fresh cilantro']","Heat the oil and ghee in a large pot over medium heat. Cook the cumin seeds in the oil until the seeds begin to change color.
Stir in chopped onion onion; cook and stir until onion has softened and turned translucent, about 5 minutes. Add the garlic and ginger; continue cooking until the onions brown, about 5 minutes more.
Mix in the chopped tomato, tomato paste, garam masala, turmeric, salt, serrano pepper, and water; simmer 5 minutes. Lay the chicken into the sauce; mix gently to coat the legs. Cover pan and reduce heat to medium-low. Cook until chicken is no longer pink near the bone, about 40 minutes. Garnish with cilantro to serve.
",https://images.media-allrecipes.com/images/55319.jpg?width=170&height=96
Easy Chicken Flautas,50,"['1/4 cup butter', '1/4 cup all-purpose flour', '1/4 cup minced onion', '1/4 cup chopped black olives', '2 tablespoons lemon juice', '1 tablespoon oil', '1/4 teaspoon ground paprika', '1/8 teaspoon ground black pepper', '1/8 teaspoon salt', '1 1/2 cups cooked shredded chicken', '8 flour tortillas', 'oil for frying, or as needed', 'toothpicks']","Melt butter in a skillet over medium heat; stir flour into butter until smooth. Add onion to flour-butter mixture; cook and stir until onion is softened, 5 to 10 minutes. Mix black olives, lemon juice, oil, paprika, black pepper, and salt into onion mixture; cook and stir until heated through, about 2 minutes. Stir chicken into mixture and remove skillet from heat and cover.
Heat oil in a large, heavy saucepan or deep-fryer.
Fill tortillas with chicken mixture. Roll tortilla around filling and secure with a toothpick.
Fry the rolled tortillas, working in batches, in the hot oil until browned, about 2 minutes. Transfer fried tortillas to a paper towel-lined plate using a slotted spoon or tongs.
",https://images.media-allrecipes.com/userphotos/250x250/2251133.jpg
Korean BBQ Chicken Marinade,25,"['1 cup white sugar', '1 cup soy sauce', '1 cup water', '1 teaspoon onion powder', '1 teaspoon ground ginger', '1 tablespoon lemon juice (optional)', '4 teaspoons hot chile paste (optional)']","In a medium saucepan over high heat, whisk together the sugar, soy sauce, water, onion powder, and ground ginger. Bring to a boil. Reduce heat to low, and simmer 5 minutes.
Remove the mixture from heat, cool, and whisk in lemon juice and hot chile paste. Place chicken in the mixture. Cover, and marinate in the refrigerator at least 4 hours before preparing chicken as desired.
",https://images.media-allrecipes.com/userphotos/250x250/208966.jpg
California Roll Sushi,90,"['1 cup uncooked short-grain white rice', '1 cup water', '1/4 cup rice vinegar', '1 tablespoon white sugar', '1/2 cup imitation crabmeat, finely chopped', '1/4 cup mayonnaise', '8 sheets nori (dry seaweed)', '2 1/2 tablespoons sesame seeds', '1 cucumber, cut into thin spears', '2 avocados - pitted, peeled, and sliced the long way']","Wash the rice in several changes of water until the rinse water is no longer cloudy, drain well, and place in a covered pan or rice cooker with 1 cup water. Bring to a boil, reduce heat to a simmer, and cover the pan. Allow the rice to simmer until the top looks dry, about 15 minutes. Turn off the heat, and let stand for 10 minutes to absorb the rest of the water.
Mix the rice vinegar and sugar in a small bowl until the sugar has dissolved, and stir the mixture into the cooked rice until well combined. Allow the rice to cool, and set aside.
Mix the imitation crabmeat with mayonnaise in a bowl, and set aside. To roll the sushi, cover a bamboo rolling mat with plastic wrap. Lay a sheet of nori, shiny side down, on the plastic wrap. With wet fingers, firmly pat a thin, even layer of prepared rice over the nori, leaving 1/4 inch uncovered at the bottom edge of the sheet. Sprinkle the rice with about 1/2 teaspoon of sesame seeds, and gently press them into the rice. Carefully flip the nori sheet over so the seaweed side is up.
Place 2 or 3 long cucumber spears, 2 or 3 slices of avocado, and about 1 tablespoon of imitation crab mixture in a line across the nori sheet, about 1/4 from the uncovered edge. Pick up the edge of the bamboo rolling sheet, fold the bottom edge of the sheet up, enclosing the filling, and tightly roll the sushi into a cylinder about 1 1/2 inch in diameter. Once the sushi is rolled, wrap it in the mat and gently squeeze to compact it tightly.
Cut each roll into 1 inch pieces with a very sharp knife dipped in water.
",https://images.media-allrecipes.com/userphotos/250x250/907484.jpg
Easy Mexican Sopes,25,"['3 cups masa harina', '1 tablespoon salt', '2 cups warm water, or as needed', '1 quart oil for frying']","Whisk masa harina and salt together; stir enough water into mixture until dough is smooth and holds together. Form dough into 2-inch balls. Flatten each ball to a 1/2-inch thick circle.
Heat oil to 400 degrees F (200 degrees C) in a deep-fryer or large saucepan.
Fry dough in the hot oil until sopes are just lightly browned, about 30 seconds per side. Remove sopes with tongs and place on a paper towel-lined plate; cool just until sopes can be handled. Pinch the edges of each sope together forming little 'boats'. Return to hot oil and fry until golden and cooked through, 1 to 2 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/1100128.jpg
Kima,38,"['3 tablespoons butter', '1 cup chopped onion', '1 clove garlic, minced', '1 pound ground beef', '2 tomatoes, chopped', '1 cup frozen peas', '1 tablespoon Masala curry powder', '1 1/2 teaspoons salt', '1 teaspoon paprika', '1/2 teaspoon chili powder', '1 dash ground black pepper', '1/4 cup flaked coconut, or to taste']","Melt butter in a skillet over medium heat. stir in onion and garlic; cook until onion is translucent, 3 to 5 minutes.
Stir beef into onion mixture; cook until crumbly and no longer pink, 5 to 10 minutes. Drain excess fat from beef mixture.
Stir tomatoes, peas, curry powder, salt, paprika, chili powder, and black pepper into beef mixture; cook until thickened, about 20 minutes. Garnish with coconut.
",https://images.media-allrecipes.com/userphotos/250x250/3349573.jpg
Chef John's Red Beans and Rice,225,"['1 pound dry red kidney beans', '1 tablespoon vegetable oil', '12 ounces andouille sausage, diced', '1 cup finely diced onion', '3/4 cup chopped celery', '3/4 cup poblano peppers', '4 cloves garlic, minced', '2 quarts chicken broth, or more as needed', '1 smoked ham hock', '2 bay leaves', '1 teaspoon freshly ground black pepper', '1 teaspoon dried thyme', '1/2 teaspoon cayenne pepper, or to taste', 'hot sauce to taste', '4 cups cooked white rice', '2 tablespoons chopped green onion, or to taste']","Place beans in a large container and cover with several inches of cool water; let stand 8 hours to overnight. Drain and rinse.
Heat vegetable oil in a large pot over medium heat. Cook and stir sausage in hot oil until oils slightly release from sausage and edges brown, 5 to 7 minutes. Stir onion, celery, and poblano pepper into sausage; cook and stir until vegetables soften and start to turn translucent, 5 to 10 minutes. Stir garlic into sausage mixture; cook and stir until fragrant, about 1 minute.
Stir red beans, chicken broth, ham hock, bay leaves, black pepper, thyme, cayenne pepper, and hot sauce into the sausage mixture; bring to a boil, reduce heat to low, and simmer gently, stirring occasionally, for 1 1/2 hours. Add salt and continue simmering until beans are soft, meat is tender, and desired consistency is reached, 1 1/2 to 2 hours more. Season with salt.
Spoon rice into bowls, ladle red beans mixture over rice, and top with green onion.
",https://images.media-allrecipes.com/images/74163.jpg?width=170&height=96
Spicy Baked Tofu,105,"['1 serving cooking spray', '1 (12 ounce) package tofu', '2 tablespoons Japanese low-sodium soy sauce', '2 tablespoons Asian chili sauce', '2 tablespoons minced fresh ginger root', '1 1/2 tablespoons hoisin sauce']","Lay the tofu on a plate lined with a couple sheets of paper towel. Layer more paper towel atop tofu and place another plate atop the stack to press water from the tofu. Let sit at least 5 minutes.
Cut tofu into 1/2-inch strips and put into a large, sealable plastic bag; add soy sauce, chili sauce, ginger, and hoisin sauce. Squeeze bag to remove excess air and seal. Marinate tofu in the refrigerator for at least 1 hour.
Preheat oven to 375 degrees F (190 degrees C). Prepare a baking sheet with cooking spray.
Remove tofu from the marinade, shake to remove excess moisture, and arrange onto the prepared baking sheet. Discard the remaining marinade.
Bake in preheated oven for 15 minutes, flip, and continue baking until firm, 15 to 20 minutes more.
",https://images.media-allrecipes.com/userphotos/250x250/2258469.jpg
Iranian / Persian Salad Shirazi,20,"['4 ripe tomatoes, seeded and diced', '1 red onion, diced', '2 small English cucumbers, peeled and diced', '3 tablespoons olive oil', 'lemon, juiced', '1 tablespoon dried mint', '1 teaspoon dried dill', '1 teaspoon ground sumac', 'salt and ground black pepper to taste']","Mix tomatoes, red onion, cucumbers, olive oil, lemon juice, mint, dill, sumac, salt, and pepper together in a bowl.
",https://images.media-allrecipes.com/userphotos/250x250/2282013.jpg
Fresh Southern Peach Cobbler,60,"['8 fresh peaches - peeled, pitted and sliced into thin wedges', '1/4 cup white sugar', '1/4 cup brown sugar', '1/4 teaspoon ground cinnamon', '1/8 teaspoon ground nutmeg', '1 teaspoon fresh lemon juice', '2 teaspoons cornstarch', '1 cup all-purpose flour', '1/4 cup white sugar', '1/4 cup brown sugar', '1 teaspoon baking powder', '1/2 teaspoon salt', '6 tablespoons unsalted butter, chilled and cut into small pieces', '1/4 cup boiling water', 'MIX TOGETHER:', '3 tablespoons white sugar', '1 teaspoon ground cinnamon']","Preheat oven to 425 degrees F (220 degrees C).
In a large bowl, combine peaches, 1/4 cup white sugar, 1/4 cup brown sugar, 1/4 teaspoon cinnamon, nutmeg, lemon juice, and cornstarch. Toss to coat evenly, and pour into a 2 quart baking dish. Bake in preheated oven for 10 minutes.
Meanwhile, in a large bowl, combine flour, 1/4 cup white sugar, 1/4 cup brown sugar, baking powder, and salt. Blend in butter with your fingertips, or a pastry blender, until mixture resembles coarse meal. Stir in water until just combined.
Remove peaches from oven, and drop spoonfuls of topping over them. Sprinkle entire cobbler with the sugar and cinnamon mixture. Bake until topping is golden, about 30 minutes.
",https://images.media-allrecipes.com/images/63088.jpg?width=170&height=96
Lamb Korma,85,"['2 1/4 pounds cubed lamb meat', '4 teaspoons olive oil, divided', '1 brown onion, chopped', '1 red potato, peeled and cubed', '1/2 cup curry powder', '1/2 cup water', '1/3 cup coconut milk', '1/3 cup drained canned chickpeas (garbanzo beans)']","Place lamb in a bowl and drizzle 2 teaspoons olive oil over lamb; stir until coated.
Heat remaining 2 teaspoons olive oil in a saucepan over low heat; cook and stir onion until softened, 10 to 15 minutes. Remove saucepan from heat and add potato to onion.
Heat a large skillet over medium heat; cook and stir lamb, working in small batches, until browned, about 5 minutes per batch. Transfer browned lamb to onion mixture.
Stir curry into lamb-onion mixture and cook over medium heat for 1 minute. Add water to lamb-onion mixture and bring to a boil. Reduce heat to low, cover saucepan, and simmer until lamb is cooked through and potatoes are tender, about 45 minutes.
Mix coconut milk and chickpeas into lamb-onion mixture and simmer until heated through, about 5 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/4469168.jpg
Frugal Fried Green Tomatoes,40,"['2 tablespoons vegetable oil', '1/2 cup cornmeal, or as needed', '6 green tomatoes, cored and cut into 1/16-inch slices', 'salt and ground black pepper to taste']","Heat vegetable oil in a skillet over medium heat.
Place cornmeal in a bowl; dip and coat each tomato slice until thoroughly coated.
Place coated tomato slices side by side in the hot oil; fry until coating is browned and crusty, 1 to 2 minutes per side. Remove with a slotted spoon and transfer to a paper towel-lined plate to drain. Season with salt and black pepper. Repeat with remaining tomato slices.
",https://images.media-allrecipes.com/userphotos/250x250/908060.jpg
Nuoc Cham (Vietnamese Spicy Dipping Sauce),70,"['3 1/2 fluid ounces water', '6 spicy red chile peppers, seeded and minced', '6 cloves garlic, minced', '1/4 cup fish sauce', '1/4 cup rice vinegar', '1/4 cup white sugar', '1/4 cup lemon juice']","Stir water, chile peppers, garlic, fish sauce, rice vinegar, and sugar together in a saucepan over medium-low heat until sugar dissolves into the liquid; remove from heat and set aside to cool completely, about 1 hour.
Stir lemon juice into the cooled liquid.
",https://images.media-allrecipes.com/userphotos/250x250/3913338.jpg
Cajun Crab Cakes (No Breadcrumbs),90,"['For the Crab Cakes:', '2 tablespoons salted butter', '1/2 onion, finely chopped', '2 stalks celery, finely chopped', '1/2 large red bell pepper, finely chopped', '1 bunch green onions (green portion only), chopped', '1/2 large carrot, finely chopped', '3 cloves garlic, minced', '1 tablespoon parsley flakes', ""2 teaspoons Creole seasoning (such as Tony Chachere's®)"", '2 teaspoons dried basil', '2 teaspoons ground black pepper', '1 teaspoon dried dill weed', '1/2 teaspoon oregano', '1/2 teaspoon dried thyme', '2 large eggs, beaten', '1 pound lump crabmeat, picked free of shell', '9 buttery crackers (such as Keebler Club® crackers), crushed', '3 tablespoons vegetable oil', 'For the Spicy Cajun Dipping Sauce:', '1 cup mayonnaise', '1 tablespoon chile-garlic sauce (such as Sriracha®)', ""2 teaspoons Creole seasoning (such as Tony Chachere's®)"", '2 teaspoons parsley flakes', '1 teaspoon paprika']","Melt butter in a large, heavy skillet over medium heat. Stir in onion; cook and stir until the onion has softened and turned translucent, about 5 minutes.
Stir in the celery, bell pepper, green onion, carrot, and garlic. Continue to cook and stir until vegetables are tender, about 10 minutes more.
Season with 1 tablespoon parsley flakes, 2 teaspoons Creole seasoning, basil, pepper, dill weed, oregano, and thyme. Cook and stir until fragrant, 5 minutes more.
Transfer cooked vegetables to a large bowl; allow to cool for about 10 minutes. Set skillet aside for later use.
Stir the beaten eggs into the vegetables. Mix in the crabmeat and cracker crumbs with your hands, making sure not to break up the chunks of crab too much.
Shape the crab mixture into 12 small cakes.
Heat vegetable oil in the skillet over medium high heat.
Pan-fry the crab cakes in batches until golden brown on each side, about 3 minutes.
To make dipping sauce: Whisk together the mayonnaise, chile-garlic sauce, 2 teaspoon Creole seasoning, 2 teaspoon parsley flakes, and paprika.
",https://images.media-allrecipes.com/userphotos/250x250/1023628.jpg
Bibimbap (Korean Rice With Mixed Vegetables),60,"['1 English cucumber, cut into matchsticks', '1/4 cup gochujang (Korean hot pepper paste)', '1 bunch fresh spinach, cut into thin strips', '1 tablespoon soy sauce', '1 teaspoon olive oil', '2 carrots, cut into matchsticks', '1 clove garlic, minced', '1 pinch red pepper flakes', '1 pound thinly-sliced beef top round steak', '1 teaspoon olive oil', '4 large eggs', '4 cups cooked white rice', '4 teaspoons toasted sesame oil, divided', '1 teaspoon sesame seeds', '2 teaspoons gochujang (Korean hot pepper paste), divided (optional)']","Stir cucumber pieces with 1/4 cup gochujang paste in a bowl; set aside.
Bring about 2 cups of water to a boil in a large nonstick skillet and stir in spinach; cook until spinach is bright green and wilted, 2 to 3 minutes. Drain spinach and squeeze out as much moisture as possible; set spinach aside in a bowl and stir soy sauce into spinach.
Heat 1 teaspoon olive oil in large nonstick skillet and cook and stir carrots until softened, about 3 minutes; stir in garlic and cook just until fragrant, about 1 more minute. Stir in cucumber pieces with gochujang paste; sprinkle with red pepper flakes, and set the mixture aside in a bowl.
Brown beef in a clean nonstick skillet over medium heat, about 5 minutes per side, and set aside. In a separate nonstick skillet, heat 1 more teaspoon olive oil over medium-low heat and fry the eggs just on one side until yolks are runny but whites are firm, 2 to 4 minutes each.
To assemble the dish, divide cooked rice into 4 large serving bowls; top with spinach mixture, a few pieces of beef, and cucumber mixture. Place 1 egg atop each serving. Drizzle each bowl with 1 teaspoon of sesame oil, a sprinkle of sesame seeds, and a small amount of gochujang paste if desired.
",https://images.media-allrecipes.com/userphotos/250x250/3961066.jpg
Blackened Catfish and Spicy Rice,30,"['1 cup white rice', '2 cups water', '1 teaspoon Cajun seasoning', '1/2 teaspoon hot pepper sauce', '1 teaspoon ground thyme', '1 teaspoon ground black pepper', '1 teaspoon ground cayenne pepper', '1 teaspoon salt', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon paprika', '1/2 teaspoon dried dill weed', '1/4 teaspoon lemon pepper', '2 (8 ounce) fillets catfish', '1/2 cup butter, melted', '1 teaspoon lemon juice, or to taste']","Bring the rice, water, Cajun seasoning, and hot pepper sauce to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes.
While rice is cooking, mix thyme, black pepper, cayenne pepper, salt, garlic powder, onion powder, paprika, dill weed, and lemon pepper in a bowl until well blended. Brush catfish fillets with butter and sprinkle with seasoning mixture other both sides.
Heat any remaining melted butter in a large skillet over medium-high heat; pan-fry seasoned catfish in butter until fish is easily flaked with a fork, 4 to 5 minutes per side.
Serve catfish over a plate of seasoned rice. Pour leftover butter from the skillet over fish and sprinkle with lemon juice.
",https://images.media-allrecipes.com/userphotos/250x250/866245.jpg
Peanut Butter Noodles,25,"['1/2 cup chicken broth', '1 1/2 tablespoons minced fresh ginger root', '3 tablespoons soy sauce', '3 tablespoons peanut butter', '1 1/2 tablespoons honey', '2 teaspoons hot chile paste (optional)', '3 cloves garlic, minced', '8 ounces Udon noodles', '1/4 cup chopped green onions', '1/4 cup chopped peanuts']","Bring a large pot of water to a boil. Add noodles and cook until tender according to package directions. Drain.
Meanwhile, combine chicken broth, ginger, soy sauce, peanut butter, honey, chili paste, and garlic in a small saucepan. Cook over medium heat until peanut butter melts and is heated through. Add noodles, and toss to coat. Garnish with green onions and peanuts.
",https://images.media-allrecipes.com/userphotos/250x250/422062.jpg
Easy Southern Fried Green Tomatoes,25,"['waxed paper', '2 large eggs', '2 tablespoons water', '1 cup all-purpose flour', '1 cup yellow cornmeal', 'sea salt to taste', 'freshly ground black pepper to taste', '2 pounds green tomatoes, sliced', '1 cup canola oil for frying, or as needed']","Line a baking sheet with waxed paper.
Beat eggs and water in a shallow bowl. Place flour and cornmeal in 2 separate shallow bowls. Season cornmeal with salt and pepper.
Dip each tomato slice into flour, then dip into egg mixture. Press tomato into cornmeal mixture, shaking off excess. Transfer tomato to prepared baking sheet. Repeat with remaining tomato slices, arranging tomatoes in a single layer.
Heat about 1/4 inch canola oil in a large skillet over medium heat until oil begins to shimmer. Fry tomatoes in batches until golden and crisp, 3 to 4 minutes per side. Drain on paper towel-lined plates. Repeat with remaining tomatoes.
",https://images.media-allrecipes.com/userphotos/250x250/1058985.jpg
North Carolina Pulled Pork,555,"['2 pounds pork shoulder roast', 'salt and ground black pepper to taste', '1/2 cup ketchup', '1/2 cup brown sugar', '1/3 cup red wine vinegar']","Preheat slow cooker on Low for 15 minutes.
Season pork shoulder with salt and pepper; place pork in preheated slow cooker. Mix ketchup, brown sugar, and vinegar in a bowl; pour over pork.
Cook on Low for 8 hours. Transfer pork to a large platter and slice into 3 to 4 pieces. Shred meat with 2 forks and return to slow cooker. Continue to cook for 1 hour.
",https://images.media-allrecipes.com/userphotos/250x250/1367751.jpg
Carolina Mustard Sauce #1,0,"['1 3/4 cups prepared yellow mustard', '1 1/8 cups honey', '2/3 cup cider vinegar', '1/4 cup ketchup', '3 tablespoons brown sugar', '1 teaspoon Worcestershire sauce', '1 teaspoon hot pepper sauce (such as Tabasco®)']","Stir mustard, honey, vinegar, ketchup, brown sugar, Worcestershire sauce, and hot pepper sauce together in a non-reactive bowl; pour into jars and seal tightly.
Refrigerate sauce to let the flavors blend before using, at least 24 hours.
",https://images.media-allrecipes.com/userphotos/250x250/1999031.jpg
Key West Shrimp Boil with Key Lime Mustard Sauce,142,"['Key Lime Mustard Sauce:', '1 cup mayonnaise', '1/2 cup lime juice', '3 tablespoons Dijon mustard', '1 teaspoon white sugar', '2 dashes hot pepper sauce (such as Tabasco®), or to taste', 'salt and ground black pepper to taste', 'Key West Shrimp Boil:', '2 (12 fluid ounce) cans or bottles beer', '1 lemon, juiced', '2 tablespoons seafood seasoning (such as Old Bay®)', '12 dashes hot pepper sauce (such as Tabasco®), or to taste', '1 tablespoon chopped garlic', '1/2 teaspoon cayenne pepper', '1/2 teaspoon ground black pepper', '3 pounds raw shrimp, or to taste']","Stir mayonnaise, lime juice, Dijon mustard, sugar, and hot pepper sauce together in a bowl until smooth; season with salt and pepper.
Cover bowl with plastic wrap and refrigerate mustard sauce for at least 2 hours.
Mix beer, lemon juice, seafood seasoning, hot pepper sauce, garlic, cayenne pepper, and black pepper together in a saucepan; bring to a boil and add shrimp. Cook shrimp just until they are bright pink on the outside and the meat is no longer transparent in the center, about 2 minutes; drain immediately.
",https://images.media-allrecipes.com/userphotos/250x250/2277524.jpg
Kentucky Biscuits,30,"['2 cups all-purpose flour', '2 1/2 teaspoons baking powder', '1/2 teaspoon baking soda', '1 dash salt', '1 tablespoon white sugar', '1/2 cup butter', '3/4 cup buttermilk']","Preheat oven to 400 degrees F (200 degrees C).
In a bowl, mix the flour, baking powder, baking soda, salt, and sugar. Cut in 1/2 cup butter until the mixture resembles coarse crumbs. Mix in the buttermilk. Turn out onto a lightly floured surface, and knead 2 minutes. Transfer to an ungreased baking sheet, roll into a 6x6 inch square, and cut into 12 even sections. Do not separate.
Bake 15 minutes in the preheated oven, until a knife inserted in the center of the square comes out clean. Separate into biscuits, and serve hot.
",https://images.media-allrecipes.com/userphotos/250x250/145630.jpg
Traditional Mexican Guacamole,10,"['2 avocados, peeled and pitted', '1 cup chopped tomatoes', '1/4 cup chopped onion', '1/4 cup chopped cilantro', '2 tablespoons lemon juice', '1 jalapeno pepper, seeded and minced (optional)', 'salt and ground black pepper to taste']","Mash avocados in a bowl until creamy.
Mix tomatoes, onion, cilantro, lemon juice, and jalapeno pepper into mashed avocado until well combined; season with salt and black pepper.
",https://images.media-allrecipes.com/images/54776.jpg?width=170&height=96
Spicy Chicken and Hominy Mexican Soup,70,"['1 tablespoon olive oil', '2 chicken breasts, cut into 1-inch pieces', '1 small onion, chopped', '2 chipotle peppers in adobo sauce, seeded and diced', '2 cloves garlic, minced', '1 pinch garlic salt, or to taste', '1 (32 ounce) can enchilada sauce', '2 (16 ounce) cans hominy', '1 (15 ounce) can diced tomatoes', '1 (15 ounce) can black beans, rinsed and drained', '1 1/2 cups water', '2 tablespoons chili powder', '1 tablespoon ground cumin', '1 teaspoon dried oregano', '1 pinch cayenne pepper', 'salt and ground black pepper to taste', '1/4 cup chopped cilantro']","Heat oil in a large pot over medium-high heat. Add chicken, onion, chipotle peppers, garlic, and garlic salt; cook and stir until lightly browned, 5 to 8 minutes.
Stir enchilada sauce, hominy, tomatoes, black beans, and water into the pot. Season with chili powder, cumin, oregano, cayenne pepper, salt, and pepper. Bring to a gentle boil. Cover and simmer until flavors combine, about 40 minutes. Garnish with cilantro.
",https://images.media-allrecipes.com/userphotos/250x250/4418848.jpg
Agua Fresca de Pepino (Cucumber Limeade),5,"['5 cups water, or to taste', '3 cucumbers, peeled and chopped', '1/2 cup freshly squeezed lime juice', '1/4 cup granular sucralose sweetener (such as Splenda®), or to taste']","Blend 2 cups water, cucumbers, lime juice, and 2 tablespoons sweetener together in a blender until smooth. Pour into pitcher; add remaining water. Stir in additional sweetener to taste.
",https://images.media-allrecipes.com/userphotos/250x250/3392023.jpg
Drowned Beef Sandwich with Chipotle Sauce (Torta Ahogada),35,"['12 ounces chipotle cooking sauce (such a Knorr®)', '1 (14 ounce) can reduced-sodium beef broth', '1/4 cup chopped fresh cilantro (optional)', '2 tablespoons vegetable oil', '1 onion, thinly sliced', '3 cloves garlic, minced', '1 pound thinly sliced deli roast beef', '4 bolillo rolls, halved and lightly toasted', '4 sprigs fresh cilantro, or to taste (optional)']","Combine chipotle cooking sauce, beef broth, and 1/4 cup chopped cilantro in a saucepan; bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, for 10 minutes.
Heat oil in a skillet over medium-high heat; saute onion until softened, about 5 minutes. Stir garlic into onion and cook for 1 minute. Add roast beef and 1/4 cup chipotle sauce mixture and cook, stirring constantly, until heated through, about 2 minutes.
Ladle remaining chipotle sauce mixture into 4 bowls for dipping. Spoon roast beef mixture onto the bottom half of each bun, top with a cilantro sprig, and place the top on each bun. Dip sandwiches into sauce.
",https://images.media-allrecipes.com/userphotos/250x250/2607771.jpg
Secret Salsa,20,"['1/4 cup chopped fresh parsley', '1/4 cup chopped fresh cilantro', '1 lime, juiced', '2 teaspoons salt', '1/2 teaspoon garlic powder', '1/2 teaspoon chili powder', '1/2 teaspoon ground black pepper', '1/2 teaspoon tequila', '6 large tomatoes, chopped', '1 small onion, diced', '1 green bell pepper, diced']","Mix parsley, cilantro, lime juice, salt, garlic powder, chili powder, black pepper, and tequila together in a bowl. Add tomatoes, onion, and green bell peppers and toss to coat. Refrigerate.
",https://images.media-allrecipes.com/userphotos/250x250/2233715.jpg
